Title,Link
Microsoft 365 Copilot – Arbitrary Data Exfiltration via Mermaid Diagrams,https://www.adamlogue.com/microsoft-365-copilot-arbitrary-data-exfiltration-via-mermaid-diagrams-fixed/
Show HN: MyraOS – My 32-bit operating system in C and ASM (Hack Club project),https://github.com/dvir-biton/MyraOS
"Are-we-fast-yet implementations in Oberon, C++, C, Pascal, Micron and Luon",https://github.com/rochus-keller/Are-we-fast-yet
Sandhill cranes have adopted a Canada gosling,https://www.smithsonianmag.com/science-nature/these-sandhill-cranes-have-adopted-a-canadian-gosling-and-birders-have-flocked-to-watch-the-strange-family-180986828/
A definition of AGI,https://arxiv.org/abs/2510.18212
You already have a Git server,https://maurycyz.com/misc/easy_git/
ICE Will Use AI to Surveil Social Media,https://jacobin.com/2025/10/ice-zignal-surveillance-social-media
"Ken Thompson recalls Unix's rowdy, lock-picking origins",https://thenewstack.io/ken-thompson-recalls-unixs-rowdy-lock-picking-origins/
"NORAD’s Cheyenne Mountain Combat Center, c.1966",https://flashbak.com/norad-cheyenne-mountain-combat-center-478804/
Sphere Computer – The Innovative 1970s Computer Company Everyone Forgot,https://sphere.computer/
"We Saved $500k per Year by Rolling Our Own ""S3""",https://engineering.nanit.com/how-we-saved-500-000-per-year-by-rolling-our-own-s3-6caec1ee1143
A bug that taught me more about PyTorch than years of using it,https://elanapearl.github.io/blog/2025/the-bug-that-taught-me-pytorch/
"Poison, Poison Everywhere",https://loeber.substack.com/p/29-poison-poison-everywhere
Wren: A classy little scripting language,https://wren.io/
System.LongBool,https://docwiki.embarcadero.com/Libraries/Sydney/en/System.LongBool
How I turned Zig into my favorite language to write network programs in,https://lalinsky.com/2025/10/26/zio-async-io-for-zig.html
AI Mafia Network – An interactive visualization,https://dipakwani.com/ai-mafia/
"Show HN: Helium Browser for Android with extensions support, based on Vanadium",https://github.com/jqssun/android-helium-browser
Asbestosis,https://diamondgeezer.blogspot.com/2025/10/asbestosis.html
Making the Electron Microscope,https://www.asimov.press/p/electron-microscope
Feed the bots,https://maurycyz.com/misc/the_cost_of_trash/
Eavesdropping on Internal Networks via Unencrypted Satellites,https://satcom.sysnet.ucsd.edu/
Alzheimer's disrupts circadian rhythms of plaque-clearing brain cells,https://medicine.washu.edu/news/alzheimers-disrupts-circadian-rhythms-of-plaque-clearing-brain-cells/
Researchers demonstrate centimetre-level positioning using smartwatches,https://www.otago.ac.nz/news/newsroom/researchers-demonstrate-centimetre-level-positioning-using-smartwatches
Pico-Banana-400k,https://github.com/apple/pico-banana-400k
"Downloadable movie posters from the 40s, 50s, 60s, and 70s",https://hrc.contentdm.oclc.org/digital/collection/p15878coll84/search
Formal Reasoning [pdf],https://cs.ru.nl/~freek/courses/fr-2025/public/fr.pdf
"Resource use matters, but material footprints are a poor way to measure it",https://ourworldindata.org/material-footprint-limitations
Validating your ideas on strangers (2017),https://jeremyaboyd.com/post/validating-your-ideas-on-strangers
Why your social.org files can have millions of lines without performance issues,https://en.andros.dev/blog/4e12225f/why-your-socialorg-files-can-have-millions-of-lines-without-any-performance-issues/
